Station_ID,Date,Max Temp,Min Temp,Avg Temp,Precipitation,Max Temp C,Min Temp C,Avg Temp C
USW00094789,Aug-13,81.3,67.5,74.4,2.73,27.38888889,19.72222222,23.55555556
USW00094789,Jun-14,79.4,63.8,71.6,2.61,26.33333333,17.66666667,22
USW00094789,Jul-14,82.6,68.3,75.5,4.83,28.11111111,20.16666667,24.16666667
USW00094789,Aug-14,81.6,66.5,74.1,4.23,27.55555556,19.16666667,23.38888889
USW00094789,Jun-15,78.5,63.9,71.2,4.99,25.83333333,17.72222222,21.77777778
USW00094789,Jul-15,85.2,71.5,78.4,2.31,29.55555556,21.94444444,25.77777778
USW00094789,Aug-15,86.3,70.7,78.5,3.63,30.16666667,21.5,25.83333333
USW00094789,Jun-16,80.2,63.6,71.9,1.61,26.77777778,17.55555556,22.16666667
USW00094789,Jul-16,85.7,71.4,78.6,6.06,29.83333333,21.88888889,25.88888889
USW00094789,Aug-16,85.4,72.5,78.9,0.62,29.66666667,22.5,26.05555556
USW00094789,Jun-17,78.7,63.1,70.9,4.2,25.94444444,17.27777778,21.61111111
USW00094789,Jul-17,83.6,69.3,76.4,4.65,28.66666667,20.72222222,24.66666667
USW00094789,Aug-17,81.9,67.4,74.6,2.5,27.72222222,19.66666667,23.66666667
USW00094789,Jun-18,76.9,62,69.5,3.88,24.94444444,16.66666667,20.83333333
USW00094789,Jul-18,83.4,69.3,76.4,4.75,28.55555556,20.72222222,24.66666667
USW00094789,Aug-18,83.9,71,77.5,4.68,28.83333333,21.66666667,25.27777778
USW00094789,Jun-19,78.3,63,70.7,5.33,25.72222222,17.22222222,21.5
USW00094789,Jul-19,86.7,70.8,78.8,5.39,30.38888889,21.55555556,26
USW00094789,Aug-19,82.4,68.3,75.3,3.16,28,20.16666667,24.05555556
USW00094789,Jun-20,80,62.9,71.5,3.16,26.66666667,17.16666667,21.94444444
USW00094789,Jul-20,86.4,72.2,79.3,5.16,30.22222222,22.33333333,26.27777778
USW00094789,Aug-20,83.1,69.5,76.3,2.82,28.38888889,20.83333333,24.61111111
USW00094789,Jun-21,79.8,63,71.4,1.57,26.55555556,17.22222222,21.88888889
USW00094789,Jul-21,83,68.6,75.8,5.9,28.33333333,20.33333333,24.33333333
USW00094789,Aug-21,83.4,70.5,76.9,7.83,28.55555556,21.38888889,24.94444444
USW00094789,Jun-22,78.1,62.5,70.3,3.25,25.61111111,16.94444444,21.27777778
USW00094789,Jul-22,86.9,71.6,79.3,1.1,30.5,22,26.27777778
USW00094789,Aug-22,86.4,71,78.7,0.85,30.22222222,21.66666667,25.94444444
