"Station_ID","Latitude.x","Longitude.x","Data_Type","Start_Year","End_Year","Latitude.y","Longitude.y"
"AM000037897",39.533,46.017,"TAVG",1959,2023,"39.5330","46.0170"
"AM000037958",38.9,46.25,"TAVG",1959,2023,"38.9000","46.2500"
"AMM00037717",40.567,45,"TAVG",2001,2023,"40.5670","45.0000"
"AO000066160",-8.85,13.233,"TAVG",1960,2023,"-8.8500","13.2330"
"AO000066390",-14.933,13.567,"TAVG",1957,2023,"-14.9330","13.5670"
"AQW00061705",-14.3306,-170.7136,"TAVG",1945,2023,"-14.3306","-170.7136"
"AR000000011",-30.267,-57.65,"TAVG",1967,2023,"-30.2670","-57.6500"
"AR000087007",-22.1,-65.6,"TAVG",1957,2023,"-22.1000","-65.6000"
"AR000087065",-24.167,-62.9,"TAVG",1973,2023,"-24.1670","-62.9000"
"AR000087078",-24.7,-60.583,"TAVG",1957,2023,"-24.7000","-60.5830"
"AR000087129",-27.767,-64.3,"TAVG",1957,2023,"-27.7670","-64.3000"
"AR000087155",-27.45,-59.05,"TAVG",1960,2023,"-27.4500","-59.0500"
"AR000087217",-29.383,-66.817,"TAVG",1967,2023,"-29.3830","-66.8170"
"AR000087257",-29.883,-61.95,"TAVG",1957,2023,"-29.8830","-61.9500"
"AR000087270",-29.183,-59.7,"TAVG",1973,2023,"-29.1830","-59.7000"
"AR000087344",-31.317,-64.217,"TAVG",1957,2023,"-31.3170","-64.2170"
"AR000087374",-31.783,-60.483,"TAVG",1973,2023,"-31.7830","-60.4830"
"AR000087418",-32.833,-68.783,"TAVG",1957,2023,"-32.8330","-68.7830"
"AR000087534",-34.133,-63.367,"TAVG",1957,2023,"-34.1330","-63.3670"
"AR000087623",-36.567,-64.266,"TAVG",1958,2023,"-36.5670","-64.2660"
"AR000087692",-37.933,-57.583,"TAVG",1957,2023,"-37.9330","-57.5830"
"AR000087715",-38.95,-68.133,"TAVG",1957,2023,"-38.9500","-68.1330"
"AR000087803",-42.933,-71.15,"TAVG",1957,2023,"-42.9330","-71.1500"
"AR000087828",-43.2,-65.266,"TAVG",1957,2023,"-43.2000","-65.2660"
"AR000087860",-45.783,-67.5,"TAVG",1957,2023,"-45.7830","-67.5000"
"AR000087925",-51.617,-69.283,"TAVG",1962,2023,"-51.6170","-69.2830"
"AR000870470",-24.85,-65.483,"TAVG",1957,2023,"-24.8500","-65.4830"
"AR000875440",-35.867,-61.9,"TAVG",1973,2023,"-35.8670","-61.9000"
"AR000875850",-34.583,-58.483,"TAVG",1973,2023,"-34.5830","-58.4830"
"AR000877500",-38.733,-62.167,"TAVG",1960,2023,"-38.7330","-62.1670"
"ARM00087016",-23.153,-64.329,"TAVG",1961,2023,"-23.1530","-64.3290"
"ARM00087022",-22.62,-63.794,"TAVG",1973,2023,"-22.6200","-63.7940"
"ARM00087046",-24.393,-65.098,"TAVG",1973,2023,"-24.3930","-65.0980"
"ARM00087121",-26.841,-65.105,"TAVG",1981,2023,"-26.8410","-65.1050"
"ARM00087148",-26.733,-60.483,"TAVG",2001,2023,"-26.7330","-60.4830"
"ARM00087162",-26.213,-58.228,"TAVG",1973,2023,"-26.2130","-58.2280"
"ARM00087166",-27.446,-58.762,"TAVG",1973,2023,"-27.4460","-58.7620"
"ARM00087178",-27.386,-55.971,"TAVG",1960,2023,"-27.3860","-55.9710"
"ARM00087213",-29.233,-67.433,"TAVG",1985,2023,"-29.2330","-67.4330"
"ARM00087222",-28.596,-65.752,"TAVG",1973,2023,"-28.5960","-65.7520"
"ARM00087244",-29.9,-63.683,"TAVG",1973,2023,"-29.9000","-63.6830"
"ARM00087289",-29.689,-57.152,"TAVG",1973,2023,"-29.6890","-57.1520"
"ARM00087311",-31.571,-68.418,"TAVG",1973,2023,"-31.5710","-68.4180"
"ARM00087320",-30.367,-66.283,"TAVG",1973,2023,"-30.3670","-66.2830"
"ARM00087328",-31.945,-65.146,"TAVG",1973,2023,"-31.9450","-65.1460"
"ARM00087345",-31.4,-64.183,"TAVG",2009,2023,"-31.4000","-64.1830"
"ARM00087349",-31.667,-63.883,"TAVG",1973,2023,"-31.6670","-63.8830"
"ARM00087395",-31.297,-57.997,"TAVG",1973,2023,"-31.2970","-57.9970"
"ARM00087416",-33.083,-68.417,"TAVG",1973,2023,"-33.0830","-68.4170"
"ARM00087420",-32.883,-68.85,"TAVG",1973,2023,"-32.8830","-68.8500"
"ARM00087436",-33.273,-66.356,"TAVG",1957,2023,"-33.2730","-66.3560"
"ARM00087448",-33.73,-65.387,"TAVG",1973,2023,"-33.7300","-65.3870"
"ARM00087453",-33.085,-64.261,"TAVG",1973,2023,"-33.0850","-64.2610"
"ARM00087467",-32.684,-62.158,"TAVG",1973,2023,"-32.6840","-62.1580"
"ARM00087480",-32.904,-60.785,"TAVG",1965,2023,"-32.9040","-60.7850"
"ARM00087497",-33.01,-58.613,"TAVG",1965,2023,"-33.0100","-58.6130"
"ARM00087506",-35.494,-69.574,"TAVG",1967,2023,"-35.4940","-69.5740"
"ARM00087509",-34.588,-68.403,"TAVG",1973,2023,"-34.5880","-68.4030"
"ARM00087532",-35.696,-63.758,"TAVG",1973,2023,"-35.6960","-63.7580"
"ARM00087548",-34.546,-60.931,"TAVG",1967,2023,"-34.5460","-60.9310"
"ARM00087550",-35.45,-60.883,"TAVG",1975,2023,"-35.4500","-60.8830"
"ARM00087563",-36.067,-59.1,"TAVG",1974,2023,"-36.0670","-59.1000"
"ARM00087576",-34.822,-58.536,"TAVG",1957,2023,"-34.8220","-58.5360"
"ARM00087582",-34.559,-58.416,"TAVG",1973,2023,"-34.5590","-58.4160"
"ARM00087593",-34.972,-57.895,"TAVG",1973,2023,"-34.9720","-57.8950"
"ARM00087596",-35.367,-57.283,"TAVG",1957,2023,"-35.3670","-57.2830"
"ARM00087637",-37.433,-61.883,"TAVG",1973,2023,"-37.4330","-61.8830"
"ARM00087640",-36.2,-61.067,"TAVG",1989,2023,"-36.2000","-61.0670"
"ARM00087641",-36.833,-59.883,"TAVG",1997,2023,"-36.8330","-59.8830"
"ARM00087643",-36.883,-60.217,"TAVG",1987,2023,"-36.8830","-60.2170"
"ARM00087645",-37.237,-59.228,"TAVG",1973,2023,"-37.2370","-59.2280"
"ARM00087648",-36.35,-57.733,"TAVG",1973,2023,"-36.3500","-57.7330"
"ARM00087679",-37.6,-62.383,"TAVG",1973,2023,"-37.6000","-62.3830"
"ARM00087688",-38.387,-60.33,"TAVG",1973,2023,"-38.3870","-60.3300"
"ARM00087765",-41.151,-71.158,"TAVG",1957,2023,"-41.1510","-71.1580"
"ARM00087774",-41.25,-68.733,"TAVG",1957,2023,"-41.2500","-68.7330"
"ARM00087784",-40.783,-65.1,"TAVG",1968,2023,"-40.7830","-65.1000"
"ARM00087791",-40.869,-63,"TAVG",1973,2023,"-40.8690","-63.0000"
"ARM00087800",-41.943,-71.532,"TAVG",1995,2023,"-41.9430","-71.5320"
"ARM00087814",-43.817,-68.883,"TAVG",1973,2023,"-43.8170","-68.8830"
"ARM00087823",-42.733,-65.067,"TAVG",2008,2023,"-42.7330","-65.0670"
"ARM00087852",-46.517,-71.017,"TAVG",1967,2023,"-46.5170","-71.0170"
"ARM00087896",-47.735,-65.904,"TAVG",1962,2023,"-47.7350","-65.9040"
"ARM00087904",-50.267,-72.05,"TAVG",2003,2023,"-50.2670","-72.0500"
"ARM00087909",-49.307,-67.803,"TAVG",1973,2023,"-49.3070","-67.8030"
"ARM00087934",-53.778,-67.749,"TAVG",1973,2023,"-53.7780","-67.7490"
"ARM00087938",-54.843,-68.296,"TAVG",1957,2023,"-54.8430","-68.2960"
"ASM00094299",-16.288,149.965,"TAVG",1948,2023,"-16.2880","149.9650"
"ASM00094995",-31.542,159.079,"TAVG",1947,2023,"-31.5420","159.0790"
"ASM00094998",-54.499,158.937,"TAVG",1973,2023,"-54.4990","158.9370"
"ASN00001019",-14.2964,126.6453,"TAVG",2001,2023,"-14.2964","126.6453"
"ASN00002012",-18.2292,127.6636,"TAVG",1944,2023,"-18.2292","127.6636"
"ASN00003003",-17.9475,122.2353,"TAVG",1939,2023,"-17.9475","122.2353"
"ASN00004032",-20.3725,118.6317,"TAVG",1942,2023,"-20.3725","118.6317"
"ASN00005007",-22.2406,114.0967,"TAVG",1975,2023,"-22.2406","114.0967"
"ASN00006011",-24.8878,113.67,"TAVG",1945,2023,"-24.8878","113.6700"
"ASN00007176",-23.4169,119.7989,"TAVG",1973,2023,"-23.4169","119.7989"
