"","Date","Year","Month","X","ID","Lst","Precipitation","Max.Temp.C","Min.Temp.C","Avg.Temp.C"
"1","2013-06-01",2013,6,49.5,49.5,42.2852725823469,8.21224489795918,27.4937641717347,18.8866213142857,23.1672335566327
"2","2013-07-01",2013,7,134.5,49.4861111111111,43.0023340375,2.89305555555556,31.0115740736111,23.4297839495833,27.2445987633333
"3","2013-08-01",2013,8,219.5,49.5,39.0036931981633,2.30836734693878,27.8497732396939,20.5323129272449,24.2171201786735
"4","2014-06-01",2014,6,317.5,49.5,40.4026579755102,3.70469387755102,26.7709750594898,18.2114512444898,22.4880952384694
"5","2014-07-01",2014,7,415.5,49.5,41.6804748704082,4.16602040816327,29.1037415002041,20.7448979603061,24.9489795920408
"6","2014-08-01",2014,8,513.5,49.5,36.2579750609184,3.34938775510204,27.8849206319388,19.8973922892857,23.8730158692857
"7","2015-06-01",2015,6,604.361445783133,49.5301204819277,28.5351359910843,4.93301204819277,25.8721552892771,17.8253012015663,21.8714859409639
"8","2015-07-01",2015,7,692,46.9340659340659,42.8456116647253,3.41021978021978,30.0433455392308,22.3467643462637,26.199023197033
"9","2015-08-01",2015,8,786.5,49.5,40.6638946863265,1.93326530612245,30.3310657577551,22.1411564638776,26.2131519285714
"10","2016-06-01",2016,6,884.5,49.5,37.8488947956122,2.21938775510204,27.7018140577551,18.3174603178571,23.0096371872449
"11","2016-07-01",2016,7,982.5,49.5,42.4018840315306,5.16734693877551,31.318594104898,22.8741496593878,27.1179138339796
"12","2016-08-01",2016,8,1080.5,49.5,42.6635212560204,1.07632653061224,31.2375283422449,23.4291383204082,27.3577097543878
"13","2017-06-01",2017,6,1178.5,49.5,41.8632959246939,4.47112244897959,27.3044217653061,18.6218820873469,22.9631519263265
"14","2017-07-01",2017,7,1276.5,49.5,38.9809511572449,4.34469387755102,29.5657596362245,21.4841269872449,25.5034013602041
"15","2017-08-01",2017,8,1374,49.7731958762887,37.8860303754639,3.68030927835052,27.72222222,20.265750286701,23.9954180974227
"16","2018-06-01",2018,6,1464.12195121951,47.390243902439,33.0892609,3.43060975609756,26.9952574513415,18.1104336054878,22.5352303504878
"17","2018-07-01",2018,7,1554.5,49.5,41.6834836579592,5.36204081632653,30.4790249431633,22.2437641761224,26.3401360586735
"18","2018-08-01",2018,8,1651.54320987654,50.0740740740741,37.9582525612346,6.40604938271605,30.6913580259259,23.1378600820988,26.9423868293827
"19","2019-06-01",2019,6,1747,49.2947368421053,39.6874697812632,5.04631578947368,26.8730994161053,18.2964912238947,22.5865497102105
"20","2019-07-01",2019,7,1843.5,49.5,43.8924639527551,6.14561224489796,31.849206345102,22.897392290102,27.3520408163265
"21","2019-08-01",2019,8,1941.5,49.5,35.6632744586735,3.45551020408163,29.1162131495918,21.2290249395918,25.1678004515306
"22","2020-06-01",2020,6,2039.5,49.5,40.7612076919388,1.42704081632653,28.7590702954082,19.5289115661224,24.1456916111224
"23","2020-07-01",2020,7,2137.5,49.5,46.5423194160204,5.4930612244898,32.2857142852041,23.7233560083673,28.0243764190816
"24","2020-08-01",2020,8,2201,49.1379310344828,29.7473523334483,4.72310344827586,30.0996168572414,22.6704980855172,26.3850574713793
"25","2021-06-01",2021,6,2264.5,49.5,38.8187382060204,2.60224489795918,28.9540816288776,19.3253968291837,24.1167800440816
"26","2021-07-01",2021,7,2330.32258064516,51.9032258064516,36.2996871683871,8.37516129032258,29.4677419364516,21.3799283148387,25.4193548393548
"27","2021-08-01",2021,8,2396,50,39.8857306441237,6.99865979381443,29.8012600218557,22.6746849913402,26.2394043547423
"28","2022-06-01",2022,6,2493.5,49.5,36.6916299540816,3.25377551020408,26.8327664423469,18.0187074860204,22.4518140605102
"29","2022-07-01",2022,7,2591,49.9690721649485,43.9795595619588,2.34896907216495,31.6981672431959,22.8734249673196,27.310423827732
"30","2022-08-01",2022,8,2688.5,49.5,43.4591648115306,1.9784693877551,31.1043083930612,22.9314058987755,27.020975055
