"system.index","Approxim_1","Approximat","ID","Latitude","Location","Longitude","first",".geo","Year"
"00000000000000000060",5220.445,56192.86998,97,40.5342141,"Bloomingdale Park (2)",-74.210295,29.9001614,"{""type"":""Point"",""coordinates"":[-74.2102949813035,40.53421403715584]}","2019"
"00000000000000000033",2626.41,28270.67724,52,40.7298224,"J.J. Walker Park",-74.0064167,38.13075356,"{""type"":""Point"",""coordinates"":[-74.00641596293785,40.72982142306735]}","2019"
"00000000000000000023",9752.924,104980.4739,36,40.583251,"William Grady HS (DOE)",-73.9646893,40.09440605,"{""type"":""Point"",""coordinates"":[-73.96468769527971,40.583250771440596]}","2019"
"0000000000000000002f",9752.924,104980.4739,48,40.7217324,"East River Park Soccer Field",-73.9733863,39.97135733,"{""type"":""Point"",""coordinates"":[-73.97338740143498,40.7217326137564]}","2019"
"00000000000000000016",7324.81,78844.25484,23,40.6592383,"Linden (Gershwin) Park",-73.8874742,37.01135201,"{""type"":""Point"",""coordinates"":[-73.88747390143823,40.65923831249236]}","2019"
"00000000000000000037",5463.256,58806.48758,56,40.7818426,"Randalls Island 73",-73.9282785,NA,"{""type"":""Point"",""coordinates"":[-73.92827913517831,40.78184129595685]}","2019"
"0000000000000000003c",5463.256,58806.48758,61,40.7854744,"Randalls Island 84",-73.9341897,47.9131268,"{""type"":""Point"",""coordinates"":[-73.93419190317519,40.785475463315414]}","2019"
"0000000000000000003d",5463.256,58806.48758,62,40.7847757,"Randalls Island 85",-73.9334432,51.15682778,"{""type"":""Point"",""coordinates"":[-73.93344277419823,40.78477538445003]}","2019"
"0000000000000000003e",5463.256,58806.48758,63,40.7858394,"Randalls Island 90",-73.9311479,43.5722414000001,"{""type"":""Point"",""coordinates"":[-73.93114633715568,40.7858411096018]}","2019"
"0000000000000000003f",5463.256,58806.48758,64,40.7863476,"Randalls Island 91",-73.9308053,44.9907197,"{""type"":""Point"",""coordinates"":[-73.93080744547562,40.786349447121886]}","2019"
"00000000000000000009",2699.253,29054.75929,10,40.8444439,"West Bronx Recreation Center (Highbridge)",-73.9195091,37.88465612,"{""type"":""Point"",""coordinates"":[-73.91950808340619,40.84444261564618]}","2019"
"0000000000000000000a",9064.958,97575.20791,11,40.8776371,"Williamsbridge Oval",-73.8773577,42.10591082,"{""type"":""Point"",""coordinates"":[-73.87735620114796,40.877636163888035]}","2019"
"00000000000000000019",5955.638,64106.48353,26,40.6521462,"Parade Ground Field 4",-73.9670914,39.59195711,"{""type"":""Point"",""coordinates"":[-73.9670911507475,40.65214834181739]}","2019"
"00000000000000000021",7689.03,82764.71892,34,40.7065263,"Stemberg Park Fields 1 and 2",-73.9472551,39.6073382,"{""type"":""Point"",""coordinates"":[-73.94725706926178,40.706527079164154]}","2019"
"0000000000000000001c",6070.28,65340.49392,29,40.6504178,"Parade Ground Field 9",-73.9676554,36.0753842,"{""type"":""Point"",""coordinates"":[-73.96765745658129,40.65041821060864]}","2019"
"00000000000000000043",1776.57,19122.99948,68,40.7184585,"Sara D. Roosevelt Park (At Broome and Grand Station)",-73.9932312,39.7098788,"{""type"":""Point"",""coordinates"":[-73.99323040112282,40.71845963358317]}","2019"
"00000000000000000046",4411.074,47480.80054,71,40.7997961,"Wagner Playground",-73.9348608,38.47027688,"{""type"":""Point"",""coordinates"":[-73.93486076833321,40.79979809589907]}","2019"
"00000000000000000013",10886.04,117177.3346,20,40.6266311,"Ft. Hamilton HS Athletic Field",-74.0373541,39.60221117,"{""type"":""Point"",""coordinates"":[-74.03735320604666,40.62662890648851]}","2019"
"0000000000000000005e",5678.77,61126.28028,95,40.5926851,"Blood Root Valley (Greenbelt)",-74.1384622,32.67217562,"{""type"":""Point"",""coordinates"":[-74.13846332243354,40.59268622926969]}","2019"
"0000000000000000003b",7446.216,80151.06902,60,40.7845498,"Randalls Island 83",-73.9346431,47.80716818,"{""type"":""Point"",""coordinates"":[-73.93464227238158,40.784547970296295]}","2019"
"00000000000000000029",1764.429,18992.31376,42,40.8575315,"Buczek Ballfield (2)",-73.9243313,30.823881305,"{""type"":""Point"",""coordinates"":[-73.92433283074602,40.85753007723804]}","2019"
"0000000000000000001d",6515.439,70132.1854,30,40.650705,"Parade Ground 10",-73.9669191,37.88465612,"{""type"":""Point"",""coordinates"":[-73.96691724580644,40.650703593076074]}","2019"
