system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
42,7567.622,81457.88321,67,40.8039219,Riverside Park @ 107th,-73.9713487,39.74064098,"{""type"":""Point"",""coordinates"":[-73.97134959225355,40.80392276437352]}",Aug-21
35,7405.747,79715.46071,54,40.7837929,Randalls Island 70,-73.9283359,38.94595133,"{""type"":""Point"",""coordinates"":[-73.92833710349201,40.78379438221827]}",Aug-21
0000000000000000004d,6474.97,69696.57708,78,40.7492553,Flushing Meadow Corona Park 5,-73.8365862,42.47676599,"{""type"":""Point"",""coordinates"":[-73.83658664021631,40.74925418545827]}",Aug-21
0000000000000000003a,5544.193,59677.69345,59,40.7839852,Randalls Island 82,-73.9340291,42.9732334,"{""type"":""Point"",""coordinates"":[-73.93402691643621,40.78398612356357]}",Aug-21
14,4775.291,51401.23232,21,40.662506,Hamilton-Metz Park,-73.9412648,34.6967828,"{""type"":""Point"",""coordinates"":[-73.94126403744595,40.662506833564535]}",Aug-21
5,9388.707,101060.0421,6,40.8700567,Pelham Bay Park,-73.7911901,37.24377737,"{""type"":""Point"",""coordinates"":[-73.79118853239117,40.870055692097175]}",Aug-21
0000000000000000004f,9388.707,101060.0421,80,40.7018835,Forest Park (Victory Field) 1,-73.8541889,40.49773241,"{""type"":""Point"",""coordinates"":[-73.85418671207427,40.70188515496751]}",Aug-21
0000000000000000000c,3986.154,42906.96166,13,40.6951669,Bushwick Ballfield,-73.9180307,41.23773374,"{""type"":""Point"",""coordinates"":[-73.9180321209575,40.69516528967998]}",Aug-21
0000000000000000000d,3986.154,42906.96166,14,40.6976686,Bushwick Ballfield (2),-73.9170396,41.25824186,"{""type"":""Point"",""coordinates"":[-73.91703774142258,40.69766684537095]}",Aug-21
0000000000000000001e,8700.741,93654.77612,31,40.6510392,Parade Ground 11,-73.9660731,43.69870814,"{""type"":""Point"",""coordinates"":[-73.96607447570733,40.651038025655076]}",Aug-21
54,8700.741,93654.77612,85,40.719892,Juniper Valley Park (Brennan) 01,-73.8842651,41.13177512,"{""type"":""Point"",""coordinates"":[-73.88426334867975,40.71989100502133]}",Aug-21
