system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date 
2,1578.27,16988.49828,3,40.8338766,John Mullaly Park (North),-73.9241049,41.07879581,"{""type"":""Point"",""coordinates"":[-73.9241054165923,40.83387454614952]}",Jul-13
3,1578.27,16988.49828,4,40.8332606,John Mullaly Park (South),-73.924454,39.46890839,"{""type"":""Point"",""coordinates"":[-73.92445322647445,40.83325919020414]}",Jul-13
56,9105.427,98010.81623,87,40.7027322,"Liberty Park (Detective Keith Williams) 01, 1",-73.7843169,NA,"{""type"":""Point"",""coordinates"":[-73.78431705766782,40.702732384167675]}",Jul-13
0000000000000000004c,8012.776,86249.52086,77,40.7497156,Flushing Meadow Corona Park 3,-73.8398083,45.95460134,"{""type"":""Point"",""coordinates"":[-73.8398061111769,40.74971347286678]}",Jul-13
49,7850.901,84507.09836,74,40.6610053,Brookville Park,-73.7456896,43.71579824,"{""type"":""Point"",""coordinates"":[-73.74568786524182,40.661004116509524]}",Jul-13
12,6920.124,74488.21474,19,40.6113725,Dyker Beach Park 2 (Soccer),-74.0155603,43.84226498,"{""type"":""Point"",""coordinates"":[-74.01556157919846,40.61137432178467]}",Jul-13
58,11088.39,119355.43,89,40.7077796,"Mafera Park 01, 1, 3",-73.8909685,48.3061991,"{""type"":""Point"",""coordinates"":[-73.89096983666414,40.70778008656017]}",Jul-13
26,5220.445,56192.86998,39,40.7175718,Baruch Park,-73.9766762,42.53658134,"{""type"":""Point"",""coordinates"":[-73.97667821801242,40.71757227247354]}",Jul-13
48,5220.445,56192.86998,73,40.7498544,Al Oerter (FMCP 9),-73.8337053,46.79201624,"{""type"":""Point"",""coordinates"":[-73.83370606093578,40.749856164100486]}",Jul-13
0000000000000000005f,5220.445,56192.86998,96,40.5337911,Bloomingdale Park,-74.2088538,36.30211286,"{""type"":""Point"",""coordinates"":[-74.20885469166323,40.53379042255577]}",Jul-13
60,5220.445,56192.86998,97,40.5342141,Bloomingdale Park (2),-74.210295,38.21620406,"{""type"":""Point"",""coordinates"":[-74.2102949813035,40.53421403715584]}",Jul-13
33,2626.41,28270.67724,52,40.7298224,J.J. Walker Park,-74.0064167,42.2733938,"{""type"":""Point"",""coordinates"":[-74.00641596293785,40.72982142306735]}",Jul-13
23,9752.924,104980.4739,36,40.583251,William Grady HS (DOE),-73.9646893,44.62840958,"{""type"":""Point"",""coordinates"":[-73.96468769527971,40.583250771440596]}",Jul-13
0000000000000000002f,9752.924,104980.4739,48,40.7217324,East River Park Soccer Field,-73.9733863,44.22850124,"{""type"":""Point"",""coordinates"":[-73.97338740143498,40.7217326137564]}",Jul-13
16,7324.81,78844.25484,23,40.6592383,Linden (Gershwin) Park,-73.8874742,46.23487898,"{""type"":""Point"",""coordinates"":[-73.88747390143823,40.65923831249236]}",Jul-13
37,5463.256,58806.48758,56,40.7818426,Randalls Island 73,-73.9282785,NA,"{""type"":""Point"",""coordinates"":[-73.92827913517831,40.78184129595685]}",Jul-13
0000000000000000003c,5463.256,58806.48758,61,40.7854744,Randalls Island 84,-73.9341897,NA,"{""type"":""Point"",""coordinates"":[-73.93419190317519,40.785475463315414]}",Jul-13
0000000000000000003d,5463.256,58806.48758,62,40.7847757,Randalls Island 85,-73.9334432,NA,"{""type"":""Point"",""coordinates"":[-73.93344277419823,40.78477538445003]}",Jul-13
