system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
0000000000000000005a,3233.438,34804.72663,91,40.7183828,Reiff Park 1,-73.901696,42.84762116,"{""type"":""Point"",""coordinates"":[-73.90169397469768,40.71838382886527]}",Jul-15
55,7931.839,85378.315,86,40.7457051,Kissena Corridor 01,-73.8169935,43.86448211,"{""type"":""Point"",""coordinates"":[-73.81699335018747,40.74570474101973]}",Jul-15
0000000000000000001f,5908.41,63598.12524,32,40.670924,Red Hook Recreation Area,-74.0025432,46.87746674,"{""type"":""Point"",""coordinates"":[-74.0025410041224,40.67092561635344]}",Jul-15
0,3051.33,32844.51612,1,40.8586188,Bronx Park East,-73.8716893,33.71638073,"{""type"":""Point"",""coordinates"":[-73.87168868370904,40.85861809789509]}",Jul-15
45,5260.91,56628.43524,70,40.7940351,Thomas Jefferson Park,-73.9358098,42.14009102,"{""type"":""Point"",""coordinates"":[-73.93581055685759,40.79403693733803]}",Jul-15
0000000000000000000e,4208.731,45302.78048,15,40.6976595,Cadman Plaza,-73.9906515,38.8724639,"{""type"":""Point"",""coordinates"":[-73.99065304071392,40.69765792716885]}",Jul-15
59,4208.731,45302.78048,90,40.771861,Raymond O’Connor Park 01,-73.7794171,40.80022718,"{""type"":""Point"",""coordinates"":[-73.77941650561009,40.77186182779925]}",Jul-15
41,4087.325,43995.9663,66,40.8014623,Riverside Park @ 104th,-73.9729141,36.72936536,"{""type"":""Point"",""coordinates"":[-73.97291473672331,40.80146134059202]}",Jul-15
47,6313.096,67954.16534,72,40.7505195,Al Oerter (FMCP 8),-73.8338406,52.37876993,"{""type"":""Point"",""coordinates"":[-73.83383983396739,40.750520570157455]}",Jul-15
25,1481.149,15943.08784,38,40.8182459,Annunciation Park,-73.9521779,43.91746142,"{""type"":""Point"",""coordinates"":[-73.95217991682479,40.81824539695719]}",Jul-15
6,3221.298,34674.05167,7,40.8216213,PS29 Melrose School,-73.916145,44.08836242,"{""type"":""Point"",""coordinates"":[-73.91614592121189,40.82162093645464]}",Jul-15
